UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2020,29,4857763,2469071,2388692,1797475,1714571,383811,383170,36737,33642,174193,179323,7784,7089,69071,70897,1857663,1776533,412351,414600,58381,55256,201903,206773,14699,13908,1948593,1912579,1342589,1300289,356935,356842,20634,19864,168807,174044,5591,5266,54037,56274,1389461,1349366,378842,381613,35513,35012,192519,197441,11026,10657,520478,476113,454886,414282,26876,26328,16103,13778,5386,5279,2193,1823,15034,14623,468202,427167,33509,32987,22868,20244,9384,9332,3673,3251
R,1,2020,30,4706959,2389398,2317561,1744802,1662202,365896,369815,35447,32033,171854,180485,7864,6865,63535,66161,1800340,1719890,391752,398680,55471,52404,197306,206313,14156,13260,1890907,1863735,1309069,1267114,340116,344615,19707,19051,166719,175322,5710,5160,49586,52473,1352233,1312704,359785,367230,33478,33313,188542,197484,10687,10294,498491,453826,435733,395088,25780,25200,15740,12982,5135,5163,2154,1705,13949,13688,448107,407186,31967,31450,21993,19091,8764,8829,3469,2966
R,1,2020,31,4570659,2315051,2255608,1701870,1625883,339783,348082,34307,30910,172296,181870,7503,6907,59292,61956,1753382,1679820,363295,374624,53081,50029,196509,206484,13587,12935,1827183,1814950,1274588,1242072,315251,323660,18734,18102,167347,176839,5461,5209,45802,49068,1314232,1284685,332703,344167,31369,31573,188103,197979,10295,10024,487868,440658,427282,383811,24532,24422,15573,12808,4949,5031,2042,1698,13490,12888,439150,395135,30592,30457,21712,18456,8406,8505,3292,2911
R,1,2020,32,4453652,2257720,2195932,1675466,1594160,320259,330143,32881,29804,165700,175740,7521,6697,55893,59388,1723874,1645961,342290,355216,50795,48379,188590,199298,13457,12610,1777079,1764039,1253091,1217341,296920,306640,17761,17330,160928,171050,5410,5029,42969,46649,1290063,1257924,313200,325825,29751,30232,180523,191297,10132,9724,480641,431893,422375,376819,23339,23503,15120,12474,4772,4690,2111,1668,12924,12739,433811,388037,29090,29391,21044,18147,8067,8001,3325,2886
R,1,2020,33,4413462,2233264,2180198,1668008,1591375,308425,321924,32386,29302,163887,174115,7432,6708,53126,56774,1714235,1640644,328687,345765,49816,47835,185730,196481,12963,12257,1755000,1749786,1247221,1215455,285511,298583,17230,16792,159133,169622,5297,4985,40608,44349,1282377,1253758,300209,316749,28858,29608,177815,188772,9707,9433,478264,430412,420787,375920,22914,23341,15156,12510,4754,4493,2135,1723,12518,12425,431858,386886,28478,29016,20958,18227,7915,7709,3256,2824
R,1,2020,34,4464300,2256164,2208136,1693719,1618614,306276,321033,32273,29542,164576,176555,7512,6821,51808,55571,1738568,1666845,325980,343634,49640,47750,185649,198744,13048,12579,1769791,1772080,1265508,1237168,283190,297790,16623,16845,159883,171965,5334,5202,39253,43110,1299251,1274399,297346,314600,28130,29564,177821,190937,9697,9813,486373,436056,428211,381446,23086,23243,15650,12697,4693,4590,2178,1619,12555,12461,439317,392446,28634,29034,21510,18186,7828,7807,3351,2766
R,1,2020,35,4400248,2212320,2187928,1664077,1604577,295082,315203,31449,29138,164653,178369,7234,6529,49825,54112,1707250,1651391,313479,336715,48369,47221,185086,200329,12739,12129,1737047,1754995,1245058,1225522,273059,292387,16333,16451,159959,173959,5107,4857,37531,41819,1277350,1261565,286119,308159,27488,28972,177339,192716,9449,9341,475273,432933,419019,379055,22023,22816,15116,12687,4694,4410,2127,1672,12294,12293,429900,389826,27360,28556,20881,18249,7747,7613,3290,2788
R,1,2020,36,4315541,2164265,2151276,1632131,1579203,285494,308197,30896,28612,160618,175987,7120,6595,48006,52682,1673631,1624781,303176,328623,47360,46749,180413,197302,12345,12178,1700239,1723609,1222664,1204707,264210,285666,15909,16021,156156,171724,5098,4954,36202,40537,1253730,1239567,276692,300667,26882,28575,172919,189871,9211,9379,464026,427667,409467,374496,21284,22531,14987,12591,4462,4263,2022,1641,11804,12145,419901,385214,26484,27956,20478,18174,7494,7431,3134,2799
R,1,2020,37,4394145,2200527,2193618,1663289,1613230,289308,314136,31527,29196,160874,177363,7211,6800,48318,52893,1705089,1658864,306935,334806,48484,47665,180490,198530,12595,12348,1723753,1753267,1242174,1227367,267544,290898,16212,16332,156253,172801,5161,5062,36409,40807,1273419,1262331,279948,306081,27533,29208,172899,190860,9437,9515,476774,440351,421115,385863,21764,23238,15315,12864,4621,4562,2050,1738,11909,12086,431670,396533,26987,28725,20951,18457,7591,7670,3158,2833
R,1,2020,38,4292529,2142806,2149723,1625884,1584526,280792,308454,29784,27941,152927,171800,7039,6314,46380,50688,1665865,1628220,297619,328397,46445,45800,171579,191811,12112,11737,1685903,1720246,1222434,1207709,259971,286089,15200,15506,148472,167344,5009,4632,34817,38966,1252203,1241134,271802,300719,26334,27881,164206,184365,8997,8944,456903,429477,403450,376817,20821,22365,14584,12435,4455,4456,2030,1682,11563,11722,413662,387086,25817,27678,20111,17919,7373,7446,3115,2793
R,1,2020,39,4381946,2190528,2191418,1663217,1613636,291834,320364,30793,28895,150812,171145,7201,6368,46671,51010,1703402,1657584,308884,340388,47541,47087,169627,191146,12487,11801,1715533,1750451,1243214,1226512,270574,297293,15694,16130,146111,166628,5061,4706,34879,39182,1272983,1260017,282479,311912,26854,28843,161920,183655,9253,9089,474995,440967,420003,387124,21260,23071,15099,12765,4701,4517,2140,1662,11792,11828,430419,397567,26405,28476,20687,18244,7707,7491,3234,2712
